pacrat;pacreu;lbrat;lbreu;interception;controlerate;passedecisive;aeriengagne;aerienperdue;tir_en_dehord_de_surface;tir_six_metre;tir_surface_reparation;potentiel
1.4;5.6;0.6;0.2;0.3;0.4;0;0.4;0.2;0.1;0.1;0.2;6.33
0.6;10.4;0.4;1.7;0.3;0;0.1;0.1;0.6;0;0;0.1;6.21
0.5;9.5;1.1;1.7;0.2;0.1;0;0.2;0.3;0;0;0.1;6.07
1;13.3;1;1;0.3;0;0;0.3;0.3;0;0;0;6.09
0.4;12.3;0.6;1;0;0.1;0;0.1;0.3;0;0;0;6.03
0.5;8;0.5;0.9;0.1;0;0;0.4;0.3;0;0;0;6.13
0.3;12;0.7;0.3;0.3;0;0;0.3;0;0.3;0;0;6.13
1;12.4;0.4;1.1;0.1;0;0;0.1;0.1;0.1;0;0;6.15
0.4;9.6;0.7;0.4;0.2;0;0;0.4;0.2;0;0;0.2;6.13
0;10.3;1.3;0.7;0.3;0;0;1.3;0.3;0;0;0.3;6.16
0.7;6.9;0.4;0.4;0.1;0;0;0.1;0.6;0;0;0;6.23
0.6;5.8;1.3;1;0.4;0.1;0;0.2;0.5;0;0;0.1;6.13
1;11.7;1;1.3;0.7;0;0;0;0;0;0;0;6.12
0;10.1;0.7;0.6;0;0;0.1;0;0.4;0;0;0;6.13
0.6;7.3;0.4;0.9;0.3;0.1;0;0.2;0.2;0.1;0;0;6.15
0.7;9;0.7;1;0.3;0.3;0;0;0.3;0;0;0;6.05
0.7;7.7;0.9;0.7;0.3;0;0;0.9;0.3;0.3;0.1;0;6.22
0.7;6.3;0.7;1.2;0.3;0.1;0;0.4;0.3;0;0.1;0;6.31
0.7;12;1.7;1;0.3;0;0;0;0;0.3;0;0;6.38
0.7;4;0;1;0.3;0.3;0;0.3;0;0.3;0;0;6.3
1.1;4.5;0.6;0.4;0;0.4;0;0.1;0;0.3;0;0;6.19
0.5;2.5;0;0;0;0.5;0;0;0;0;0;0;6.1
0.7;3.7;0;0;0.3;0;0;0;0;0;0;0.3;6.32
0.8;5.5;0.3;0.4;0.1;0;0;0.3;0.1;0.1;0.1;0.5;6.28
2;2;0;1;0;1;0;0;0;0.5;0;0.5;6.06
0.3;5;0;0.7;0;0.7;0;0;0.7;0.7;0;0;6.37
0.6;5.1;0.4;0.5;0;0.4;0.1;0;0.1;0.5;0;0.4;6.28
0.5;5;0;0.5;0;1.5;0;0;0;0;0;1;6.01
0.3;3.3;0.3;0.3;0;0.7;0;0;0.3;0;0;0;6.14
0.7;3.8;0;0.3;0.1;0.3;0;0.1;0.2;0.2;0;0.2;6.07
1;6;0.5;0;0;0.5;0;0;0;0.5;0;0;5.98
0.7;5.3;0.3;0.7;0.3;0.7;0;0;0.3;0;0;0;6
0.7;4.7;0.3;0.3;0.1;0.1;0;0.2;0.1;0.1;0;0.1;6.2
0;4.5;0.5;0.5;0;0;0;0;0.5;0;0;0.5;5.92
1;6.6;0.4;0.2;0;0.6;0;0;0.2;0;0;0.2;6.32
0.6;5.8;0.2;0.3;0.1;0.2;0.1;0;0.1;0.3;0.1;0.4;6.34
1;2.5;0.5;0;0.1;1;0;0;0;0.5;0;0;6.29
1.7;4;0.7;0;0;0;0;0;0;0.3;0;0;6.18
2;2;0;0;1;0;0;0;0;0;0;0;6.13
1.3;4.8;0.5;0.3;0.2;0.3;0;0.2;0.1;0;0;0.1;6.12
1.3;3.7;0.7;0.4;0.3;0;0;0.7;0.3;0;0;0;6.22
1;5;0;0;0;2;0;0;0;0;0;0;6.28
0.8;4.3;0.6;0.1;0.1;0.1;0;0;0.3;0;0;0;6.13
1;4.3;0.7;0.7;0.7;0.3;0;0.3;0.3;0;0;0;6.35
1;9;0;0;0;0;0;0;0;0;0;0;6.11
0.7;5.2;0.2;0.4;0.4;0.1;0;0.2;0.1;0.2;0;0;6.11
1.3;1;1;0;0;1;0;0;0;0;0;0;6.10
0;3;1;0;0;0;0;0;0;0;0;1;6.49
1;4.7;0.5;0.2;0.2;0.1;0;0.1;0.1;0.1;0;0;6.17
0.7;4.5;0.3;0;0;0;0;0.3;0;0;0;0;6.16
3;7;0;0;0;1;0;0;0;0;0;0;6.14
0.4;3.5;0.2;0;0;0.3;0;0.1;0.1;0.1;0;0;6.04
0.7;3;0.3;0;0;0;0;0.3;0;0;0;0;6.15
1;0;0;0;0;0;0;0;0;0;0;0;6.23
0.7;4.8;0.5;0.2;0.2;0.2;0;0.4;0.2;0.1;0;0;6.31
0.8;3.8;0;0;0;0.5;0;0.2;0;0.8;0;0.8;6.17
0.7;4.4;0;0.1;0;0.3;0;0.1;0.1;0.4;0;0.4;6.21
1.5;4.8;0;0;0;0.5;0;0.8;0.3;0.5;0.3;0.8;6.69
0.3;4.5;0;0.2;0;0.3;0;0.2;0.2;0.3;0.2;0.2;5.94
1;4.4;0;0.2;0;0.3;0.1;0.2;0.1;0.3;0;0.7;6.3
0.3;5;0;0;0;0.3;0;0.3;0.5;0.5;0;0;6.09
0.8;5;0;0;0.2;0.2;0;0.2;0.6;0.6;0;0.4;6.18
0.8;5.2;0.1;0.2;0;0.4;0;0.2;0.3;0.7;0;0.4;6.26
0.8;1.8;0;0.3;0;0.5;0;0.3;0.3;1;0;0;6.52
0;4.4;0;0;0;1;0.2;0.4;0.4;0.6;0;0.6;6.31
0.6;3.9;0;0.1;0;0.2;0;0;0.2;0.4;0.1;0.5;6.22
0.5;5.3;0;0.3;0;0.3;0;0.5;0.5;0;0;0.5;6.09
1;4.8;0;0.2;0;0.6;0;0.4;0;0.2;0;0.4;6.42
0.8;4.3;0;0.1;0;0.3;0.1;0.3;0.3;0.5;0.1;0.6;6.47
0.8;3.8;0.3;0.3;0;0.3;0;0.3;0;0.8;0;0;6.11
0.8;4.2;0;0;0;0.2;0.2;0.2;0.6;0.6;0.4;0.4;6.25
0.8;5.2;0;0.2;0.1;0.2;0.1;0.2;0.3;0.3;0.2;0.6;6.38
1.3;2.5;0;0;0;1;0;0;0.3;1;0;0;6.23
0.4;1.8;0;0;0.2;0.2;0;0.4;1;0;0.2;0;6.12
1.8;2.5;0.1;0;0.1;0.2;0;0.6;0.5;0;0.1;0.2;6.22
0.8;2.5;0;0;0;0.2;0;0.2;0.7;0;0;0.3;6.21
1.2;1.8;0;0;0;0;0;1.2;0;0;0;0.2;6.15
0.8;2.5;0.1;0;0;0.3;0;0.3;0.4;0;0.1;0.2;6.17
1.5;2.2;0.2;0;0;0;0;1.2;0.3;0;0;0;6.12
1;2.2;0;0;0.2;0.4;0;0.8;0;0;0;0.2;6.19
1.1;2.7;0.1;0.1;0.1;0.2;0.1;0.6;0.3;0;0.1;0.3;6.24
2.8;3.5;0;0.2;0;0.2;0.2;1.5;0.5;0;0.2;0.2;6.35
1;2.2;0;0;0;0;0;0.6;0.6;0;0.2;0;6.29
1.2;3.1;0.1;0.1;0.1;0.3;0.1;0.6;0.6;0;0;0.1;6.22
1.3;2;0;0.3;0.2;0.5;0;0.5;1;0;0;0;6.08
1.2;3;0.2;0;0;0.6;0;0.8;0;0;0.2;0.2;6.24
1;2.7;0.1;0.1;0.2;0.1;0.1;0.6;0.5;0;0.1;0.2;6.38
0.7;3;0;0.2;0;0.2;0;0.2;0.7;0;0.2;0.3;6.31
1.7;2.2;0;0;0.2;0.5;0;1;0.7;0;0;0.2;6.13
1.8;4.3;0.1;0.2;0.1;0.2;0.1;0.7;0.2;0;0;0.1;6.26
1.3;2.5;0;0.2;0.2;0.3;0;0.5;0.8;0.2;0;0.3;6.23
1.2;9.2;0;0.8;0.2;0;0;0.2;0;0;0;0;6.15
0.9;8.9;0.7;0.8;0.4;0.1;0.1;0.6;0.2;0.1;0;0;6.18
0.7;13.7;0.3;1.3;0.3;0;0;0.3;0.3;0;0;0;6.12
0.2;13;0.2;1.2;0;0;0;0.2;0.4;0;0;0;6.12
